order_id,item_id,item,quantity,price,total_item,service_fee,order_id_software
18877,43,Salsa Mayo Trufa,1,1.5,1.5,0.0,C0E55
18877,12,Sweet Home Alicante,1,12.3,12.3,0.0,C0E55
18877,42,Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,0.0,C0E55
18876,46,Tequeños (4 Uds.),1,5.9,5.9,0.0,AV8KSK3V
18876,33,Patatas Fritas,2,2.5,5.0,0.0,AV8KSK3V
18876,44,Burger Perla Negra,2,12.5,25.0,0.0,AV8KSK3V
18876,53,Boniato Frito,2,3.5,7.0,0.0,AV8KSK3V
18876,45,Burger La Zar Basic,1,12.9,12.9,0.0,AV8KSK3V
18876,34,Burger La Uno Basic,1,12.6,12.6,0.0,AV8KSK3V
18875,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,D408D
18875,54,Sweet Home Benidorm,1,12.3,12.3,0.0,D408D
18875,55,El Pelirojo Jimmy,1,10.7,10.7,0.0,D408D
18874,34,Burger La Uno Basic,1,12.6,12.6,0.0,A1EXASW6
18874,33,Patatas Fritas,1,2.5,2.5,0.0,A1EXASW6
18873,19,Patatas fritas Grandes,1,4.5,4.5,0.0,3BDE7
18873,6,Ned Kelly,1,10.9,10.9,0.0,3BDE7
18873,55,El Pelirojo Jimmy,1,10.7,10.7,0.0,3BDE7
18873,4,Chicken Tenders,1,7.6,7.6,0.0,3BDE7
18872,2,Kahuna Burger,1,8.1,8.1,0.0,733902907
18872,6,Ned Kelly,1,10.9,10.9,0.0,733902907
18872,23,Patatas fritas S,1,2.5,2.5,0.0,733902907
18872,5,Tequeños,1,6.4,6.4,0.0,733902907
18871,24,Slim Combo (Para 1),1,11.9,11.9,0.0,03A13
18870,17,El Honesto Mike,1,11.7,11.7,0.0,FAEC5
18870,2,Kahuna Burger,1,7.7,7.7,0.0,FAEC5
18870,19,Patatas fritas Grandes,1,3.5,3.5,0.0,FAEC5
18869,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,BL1XKAAZ
18869,54,Sweet Home Benidorm,1,12.3,12.3,0.0,BL1XKAAZ
18868,12,Sweet Home Alicante,1,11.7,11.7,0.0,27AE5
18868,1,Patatas fritas Pequeñas,1,2.0,2.0,0.0,27AE5
18868,19,Patatas fritas Grandes,1,3.5,3.5,0.0,27AE5
18868,2,Kahuna Burger,1,7.7,7.7,0.0,27AE5
18867,2,Kahuna Burger,2,8.1,16.2,0.0,3E454
18867,19,Patatas fritas Grandes,2,4.5,9.0,0.0,3E454
18866,11,Alitas,1,7.2,7.2,0.0,BZGKPT9L
18866,42,Coca-Cola Sabor Original lata 330ml.,2,1.9,3.8,0.0,BZGKPT9L
18866,16,Oklahoma Umbrella,1,7.5,7.5,0.0,BZGKPT9L
18866,19,Patatas fritas Grandes,1,4.5,4.5,0.0,BZGKPT9L
18865,2,Kahuna Burger,1,8.1,8.1,0.0,733909639
