order_id_software,item,price,quantity
124742168,Boniato frito,1.5,1
124742168,Una más de ternera gallega,2.5,1
124742168,La Muergana,13.5,1
124742682,LA UNO,13.6,1
124742682,Alitas de pollo,7.2,1
124742682,Avocaitor,13.9,1
124742682,La Muergana,13.5,2
124742682,Salsa Tepuy (Servidas aparte),1.0,1
124742682,Beety Miranda,11.7,1
124742682,Boniato frito,1.5,1
124740467,Trío Criollo,11.2,1
124740467,Avocaitor,13.9,1
124740467,Salsa Tepuy (Servidas aparte),1.0,2
124740467,Salsa Equis (Servidas aparte),1.0,1
124740467,Salsa Beety (Servidas aparte),1.0,1
124740467,Boniato frito,1.5,2
124740467,LA UNO,13.6,1
124740467,Huevo Frito,1.0,1
124732899,Habanera,14.9,1
124732899,Salsa Tepuy (Servidas aparte),1.0,1
124732899,Cocacola bote,1.9,1
124707523,Arepa Sifrina,7.5,1
124707523,Boniato guarnición,2.5,1
124707523,Aquarius limon bote,2.2,1
124675084,El Zar,13.9,1
124675084,LA UNO,13.6,1
124675084,Mixto de patatas y boniato,1.5,1
124631845,El Zar,13.9,1
124631845,Avocaitor,13.9,1
124631845,Boniato frito,1.5,1
124631845,Tequemix,8.9,1
124613189,Arepa Rumbera Remix,7.5,1
124613189,Arepa Sifrina,7.5,1
124613189,Tequemix,8.9,1
124588751,Tequeños,8.9,1
124588751,Caprichosa,11.9,1
124588751,Bacon,1.0,1
124588751,La Muergana,13.5,1
124588751,Queso Azul,1.5,1
124574235,LA UNO,13.6,1
124574235,La Muergana,13.5,1
124574235,Madurada HECHA en lugar de carne normal,1.5,1
124574235,Una más de ternera gallega,2.5,1
124574235,El Zar,13.9,1
124574235,Extra Carne Madurada (dry-aged),3.5,1
124574235,Arepa Reina Pepiada,7.5,1
124574235,Patatas guarnición,1.5,1
124574235,Arepa Pelúa,7.5,1
124464269,Beety Miranda,11.7,1
124464269,Perla Negra,13.3,1
124464269,Tequeños,8.9,1
124446837,La Muergana,13.5,1
124446837,Boniato frito,1.5,1
124446837,LA UNO,13.6,1
124446837,Mixto de patatas y boniato,1.5,1
124388983,Perla Negra,13.3,1
124388983,Nestea bote,1.9,1
124388983,Tequenutellla PL,2.9,1
124380832,LA UNO,13.6,1
124380832,Salsa de queso (Servidas aparte),1.5,1
124380832,Boniato frito,1.5,1
124380832,Tequemix,8.9,1
124328595,LA UNO,13.6,1
124328595,Mixto de patatas y boniato,1.5,1
124328595,Cocacola bote,1.9,1
124322382,Caprichosa,11.9,1
124322382,Tequeños,8.9,1
124247067,LA UNO,13.6,2
124247067,Nachos Anaya,11.2,1
124236000,Nachos Anaya,11.2,1
124236000,Tequenutellla PL,2.9,3
124236000,Custom Burger,8.5,1
124236000,Queso Cheddar,1.0,1
124236000,Lechuga,0.5,1
124103466,Beety Miranda,11.7,1
124103466,Perla Negra,13.3,1
124103466,Tequeños,8.9,1
123868517,Arepa Sifrina,7.5,1
123868517,Tequeños,8.9,1
123846616,Tequeños,8.9,1
123846616,Arepa Sifrina,7.5,2
123844448,Nachos Anaya,11.2,1
123844448,Trío Criollo,11.2,1
123844448,Chicken Tenders,7.2,1
123602918,Cheesebacon,11.5,1
123602918,Boniato frito,1.5,2
123602918,Caprichosa,11.9,1
123602918,Avocaitor,13.9,1
123602918,Perla Negra,13.3,1
123602918,PACK 12 TEQUEÑOS,17.8,1
123579440,La Muergana,13.5,1
123579440,MayoBacon (Servidas aparte),1.5,1
123579440,Tequeños,8.9,1
123579440,Caprichosa,11.9,1
123579440,Salsa de queso (Servidas aparte),1.5,1
123579440,Bacon bits,1.5,1
123579440,Cocacola bote,1.9,2
123545908,La Muergana,13.5,2
123545908,Salsa Tepuy (Servidas aparte),1.0,1
123545908,Tomate,0.5,1
123545908,Lechuga,0.5,1
123526034,La Muergana,13.5,1
123526034,Boniato frito,1.5,1
123526034,Linda Spencer,14.0,1
123511416,La Muergana,13.5,1
123511416,Salsa Tepuy (Servidas aparte),1.0,2
123468883,Beety Miranda,11.7,1
123468883,Boniato frito,1.5,1
123468883,Avocaitor,13.9,1
123432484,LA UNO,13.6,1
123432484,Perla Negra,13.3,1
123432484,Chicken Tenders,7.2,1
123309528,Beety Miranda,11.7,1
123309528,Boniato frito,1.5,1
123241877,Caprichosa,11.9,1
123241877,La Muergana,13.5,1
123181547,Beety Miranda,11.7,1
123181547,Salsa Equis (Servidas aparte),1.0,1
123181547,Althaia IPA PL,3.5,1
123073090,Beety Miranda,11.7,1
123073090,Salsa Tepuy (Servidas aparte),1.0,1
123073090,Boniato frito,1.5,2
123073090,Tequeños,8.9,1
123073090,Patatas Fritas bacon,7.2,1
123073090,Perla Negra,13.3,1
123047367,LA UNO,13.6,2
123047367,Salsa Tepuy (Servidas aparte),1.0,1
123047367,Avocaitor,13.9,1
123047367,Mixto de patatas y boniato,1.5,1
122941824,Trío Criollo,11.2,1
122941824,El Zar,13.9,1
122941824,Salsa Beety (Servidas aparte),1.0,1
122941824,Mixto de patatas y boniato,1.5,1
122941824,Extra Carne Madurada (dry-aged),3.5,1
122857830,Nachos Anaya,11.2,1
122857830,Chicken Tenders,7.2,1
122857830,LA UNO,13.6,1
122857830,Salsa Equis (Servidas aparte),1.0,1
122857830,Tequenutellla PL,2.9,1
122842278,Arepa Sifrina,7.5,1
122842278,Cebolla Cruda,0.5,1
122842278,PulledPork,2.5,1
122842278,El Zar,13.9,1
122842278,Ranch (Servidas aparte),1.0,1
122842278,LA UNO,13.6,1
122842278,Salsa Tepuy (Servidas aparte),1.0,1
122835143,La Muergana,13.5,1
122789082,Cheesebacon,11.5,1
122772137,Custom Burger,8.5,1
122772137,Salsa MayoBacon (dentro burger),1.5,1
122772137,Salsa Equis (Servidas aparte),1.0,1
122772137,Bacon,1.0,2
