"CreatedTime","CreatedTimeUTC","Location","OrderID","Channel","Payment","PaymentAmount","Rebate","SubTotal","Tax","VAT","ProductNames","ItemPrice","ItemQuantities"
"2023-04-30 21:59:22+0200","2023-04-30 19:59:22","Alicante - Periodista Rodolfo Salazar","7695D","Uber Eats","ONLINE",18.4,0.0,31.3,0.0,1.68,"Caprichosa",1290,2
"2023-04-30 21:59:22+0200","2023-04-30 19:59:22","Alicante - Periodista Rodolfo Salazar","7695D","Uber Eats","ONLINE",18.4,0.0,31.3,0.0,1.68,"Areburger",0,2
"2023-04-30 21:59:22+0200","2023-04-30 19:59:22","Alicante - Periodista Rodolfo Salazar","7695D","Uber Eats","ONLINE",18.4,0.0,31.3,0.0,1.68,"POLLO a la plancha en vez de carne",0,2
"2023-04-30 21:59:22+0200","2023-04-30 19:59:22","Alicante - Periodista Rodolfo Salazar","7695D","Uber Eats","ONLINE",18.4,0.0,31.3,0.0,1.68,"Patatas fritas caseras",0,2
"2023-04-30 21:59:22+0200","2023-04-30 19:59:22","Alicante - Periodista Rodolfo Salazar","7695D","Uber Eats","ONLINE",18.4,0.0,31.3,0.0,1.68,"Hamburguesa normal",0,2
"2023-04-30 21:59:22+0200","2023-04-30 19:59:22","Alicante - Periodista Rodolfo Salazar","7695D","Uber Eats","ONLINE",18.4,0.0,31.3,0.0,1.68,"Sin Extras",0,2
"2023-04-30 21:59:40+0200","2023-04-30 19:59:40","Alicante - Periodista Rodolfo Salazar","7503A","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Caprichosa",1290,2
"2023-04-30 21:59:40+0200","2023-04-30 19:59:40","Alicante - Periodista Rodolfo Salazar","7503A","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Pan normal",0,2
"2023-04-30 21:59:40+0200","2023-04-30 19:59:40","Alicante - Periodista Rodolfo Salazar","7503A","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Hecha",0,2
"2023-04-30 21:59:40+0200","2023-04-30 19:59:40","Alicante - Periodista Rodolfo Salazar","7503A","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Patatas fritas caseras",0,2
