artículos_ordenados,cantidad,precio_de_venta,artículo_subtotal,id_de_pedido,service_fee
Alitas De Pollo Fritas (7 Uds.),1,7.2,7.2,ARU11KN2,0.0
Burger Perla Negra,1,12.5,12.5,ARU11KN2,0.0
Patatas Fritas,1,2.5,2.5,ARU11KN2,0.0
Burger La Riki,1,10.9,10.9,ARU11KN2,0.0
La Caprichosa,1,12.5,12.5,733926457,0.0
PACK 6 TEQUES,1,8.9,8.9,733926457,0.0
Tequeños (4 Uds.),1,5.9,5.9,ADYDLLZ7,0.0
Burger Cheesebacon,1,10.9,10.9,ADYDLLZ7,0.0
Sweet Home Alicante,1,12.3,12.3,733927890,0.0
El Pelirojo Jimmy,1,10.7,10.7,21EED,0.0
Salsa Sweet-Umbrella,2,1.5,3.0,21EED,0.0
Boniato frito pequeño,1,3.5,3.5,21EED,0.0
Charles Wells,1,8.3,8.3,21EED,0.0
Salsa X,2,1.5,3.0,21EED,0.0
Sweet Home Sanvi,2,12.3,24.6,21EED,0.0
Patatas fritas Pequeñas,3,2.5,7.5,21EED,0.0
Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,FDC5B,0.0
Sweet Home Alicante,1,11.7,11.7,FDC5B,0.0
Patatas fritas Pequeñas,1,2.0,2.0,FDC5B,0.0
Patatas fritas Grandes,1,4.5,4.5,65B24,0.0
Kahuna Burger,1,8.1,8.1,65B24,0.0
Sweet Home Alicante,1,12.3,12.3,65B24,0.0
Slim Combo (Para 1),1,11.9,11.9,00581,0.0
Patatas fritas S,1,2.5,2.5,733930371,0.0
Kahuna Burger,1,8.1,8.1,733930371,0.0
Burger La Uno Basic,1,12.6,12.6,AGK1DCYS,0.0
Patatas Fritas,1,2.5,2.5,AGK1DCYS,0.0
El Honesto Mike,1,12.3,12.3,C7ED3,0.0
Ned Kelly,1,10.9,10.9,C7ED3,0.0
Sweet Home Alicante,1,12.3,12.3,C7ED3,0.0
Patatas fritas Grandes,1,4.5,4.5,C7ED3,0.0
Sweet Home Benidorm,2,12.3,24.6,B7LLMPNB,0.0
Sweet Home Sanvi,1,12.3,12.3,733931544,0.0
Patatas fritas L,1,4.5,4.5,733931544,0.0
Zima Blue,1,11.7,11.7,733931544,0.0
Chicken Tenders,1,7.6,7.6,733931544,0.0
Ned Kelly,1,10.9,10.9,733931544,0.0
Sweet Home Alicante,2,11.7,23.4,488C2,0.0
Patatas fritas Pequeñas,3,2.0,6.0,488C2,0.0
Kahuna Burger,2,7.7,15.4,488C2,0.0
Sweet Home Madrid,1,12.7,12.7,86970,0.0
Boniato frito pequeño,1,3.5,3.5,86970,0.0
Rabiosa,2,14.2,28.4,BVFJZLSG,0.0
Hamburguesa La Caprichosa,2,12.9,25.8,BVFJZLSG,0.0
Kahuna Burger,1,8.1,8.1,BYNLEACY,0.0
Patatas fritas Grandes,1,4.5,4.5,BYNLEACY,0.0
Sweet Home Benidorm,1,12.3,12.3,BYNLEACY,0.0
Tequeños,1,6.4,6.4,BYNLEACY,0.0
Oklahoma Umbrella,1,7.5,7.5,733932278,0.0
Patatas fritas S,1,2.5,2.5,733932278,0.0
Ei-ou,1,18.2,18.2,AZL4TDG9,0.0
Patatas fritas Pequeñas,1,2.0,2.0,F344C,0.0
Charles Wells,1,7.7,7.7,F344C,0.0
Sweet Home Sanvi,1,12.3,12.3,68F0C,0.0
Patatas fritas L,1,4.5,4.5,733935504,0.0
Zima Blue,1,11.7,11.7,733935504,0.0
El Pelirojo Jimmy,2,10.7,21.4,733935504,0.0
Patatas fritas S,2,2.5,5.0,733935318,0.0
Cerveza Estrella Galicia 33CL,1,1.9,1.9,733935318,0.0
Kahuna Burger,2,8.1,8.1,733935318,0.0
Patatas fritas L,1,4.5,4.5,733937492,0.0
Sweet Home Sanvi,1,12.3,12.3,733937492,0.0
Kahuna Burger,1,8.1,8.1,733937492,0.0
Slim Combo (Para 1),1,11.9,11.9,BLTHCZP1,0.0
Chicken Tenders,1,7.6,7.6,3D9B4,0.0
El Pelirojo Jimmy,1,10.7,10.7,3D9B4,0.0
Patatas fritas Grandes,1,4.5,4.5,3D9B4,0.0
Patatas fritas Pequeñas,1,2.5,2.5,3D9B4,0.0
Sweet Home Alicante,1,11.7,11.7,34C18,0.0
Patatas fritas Pequeñas,1,2.0,2.0,34C18,0.0
Charles Wells,1,8.3,8.3,5596E,0.0
Agua,2,1.0,2.0,5596E,0.0
Coca-Cola Zero,1,1.9,1.9,5596E,0.0
Oklahoma Umbrella,1,7.5,7.5,5596E,0.0
El Pelirojo Jimmy,1,10.7,10.7,5596E,0.0
Patatas fritas Grandes,2,4.5,9.0,5596E,0.0
Coca-Cola,1,1.9,1.9,5596E,0.0
Zima Blue,1,11.7,11.7,5596E,0.0
Kahuna Burger,1,8.1,8.1,BF9ZEHKH,0.0
Nestea Té Negro Limón lata 330ml.,1,1.9,1.9,BF9ZEHKH,0.0
Patatas fritas Pequeñas,1,2.5,2.5,BF9ZEHKH,0.0
Hamburguesa Mango Vice,1,14.5,14.5,BPMH5VDG,0.0
Patatas fritas Grandes,1,4.5,4.5,F26F1,0.0
Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,F26F1,0.0
Sweet Home Alicante,1,12.3,12.3,F26F1,0.0
Alitas,1,7.2,7.2,MWMQ7SCR,0.0
Sweet Home Madrid,1,12.7,12.7,MWMQ7SCR,0.0
Kahuna Burger,1,8.5,8.5,MWMQ7SCR,0.0
Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,MWMQ7SCR,0.0
Hamburguesa La Uno,2,14.6,29.2,BRT9LZLJ,0.0
Tequeños,1,6.4,6.4,9057E,0.0
Kahuna Burger,1,8.5,8.5,9057E,0.0
Kahuna Burger,1,8.1,8.1,26442,0.0
Patatas fritas Grandes,1,4.5,4.5,26442,0.0
Sweet Home Alicante,1,12.3,12.3,26442,0.0
Hamburguesa Perla Negra,2,14.3,28.6,B1KY7FPZ,0.0
Hamburguesa El Zar,1,14.9,14.9,B8JTMSTU,0.0
Hamburguesa Perla Negra,1,14.3,14.3,B8JTMSTU,0.0
Oklahoma Umbrella,1,7.5,7.5,7C3C6,0.0
Tequeños,1,6.4,6.4,7C3C6,0.0
Patatas fritas Grandes,1,4.5,4.5,7C3C6,0.0
Charles Wells,1,8.3,8.3,7C3C6,0.0
Burger La Uno Basic,2,12.6,25.2,A2N8SZZ6,0.0
Patatas Fritas,2,2.5,5.0,A2N8SZZ6,0.0
Ned Kelly,1,10.9,10.9,733949687,0.0
Patatas fritas S,1,2.5,2.5,733949687,0.0
Boniato frito pequeño,1,3.5,3.5,BUGXZZ71,0.0
Salsa X,1,1.5,1.5,BUGXZZ71,0.0
Kahuna Burger,1,8.1,8.1,BUGXZZ71,0.0
El Pelirojo Jimmy,1,10.7,10.7,BUGXZZ71,0.0
Salsa Spicy,1,1.5,1.5,BUGXZZ71,0.0
Patatas fritas Pequeñas,1,2.5,2.5,BUGXZZ71,0.0
Sweet Home Alicante,2,12.3,24.6,733952150,0.0
Patatas fritas L,1,4.5,4.5,733952150,0.0
Slim Combo (Para 1),1,11.9,11.9,945D4,0.0
Sweet Home Madrid,1,12.7,12.7,945D4,0.0
Sweet Home Alicante,1,12.3,12.3,CAF1A,0.0
Tequeños,1,6.4,6.4,CAF1A,0.0
Charles Wells,1,8.3,8.3,CAF1A,0.0
Kahuna Burger,3,8.5,25.5,M1CHDL8E,0.0
Slim Combo (Para 1),1,11.9,11.9,133851609,0.0
Salsa X,1,1.5,1.5,8E17C,0.0
Patatas fritas Grandes,1,3.5,3.5,8E17C,0.0
Sweet Home Alicante,2,11.7,23.4,8E17C,0.0
Burger Cheesebacon,1,10.9,10.9,AQQLQ1DZ,0.0
Patatas Fritas,1,2.5,2.5,AQQLQ1DZ,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,AQQLQ1DZ,0.0
Kahuna Burger,2,8.5,17.0,M8TU6H4C,0.0
Patatas fritas Pequeñas,1,2.5,2.5,M8TU6H4C,0.0
Patatas (Grande),1,3.5,3.5,B6G1B1SN,0.0
Arepa La abuela Rumbera,1,10.9,10.9,B6G1B1SN,0.0
Boniato frito pequeño,1,3.5,3.5,3346E,0.0
Kahuna Burger,3,8.1,24.3,3346E,0.0
Coca-Cola Zero Azúcar lata 330ml.,1,1.9,1.9,3346E,0.0
Patatas fritas Pequeñas,1,2.5,2.5,3346E,0.0
Sweet Home Madrid,1,12.7,12.7,A1EB5,0.0
Burger La Caprichosa,1,10.9,10.9,AYA39PRH,0.0
Patatas Fritas,1,2.5,2.5,AYA39PRH,0.0
Chicken Tenders (7 Uds.),2,7.2,14.4,AYA39PRH,0.0
