artículos_ordenados,cantidad,precio_de_venta,artículo_subtotal,id_de_pedido,service_fee
El Pelirojo Jimmy,1,10.7,10.7,38F2A,0.0
Patatas fritas Pequeñas,1,2.5,2.5,38F2A,0.0
Arepa isleña,1,9.4,9.4,BLD6UK1F,0.0
Hamburguesa La Muergana,1,14.5,14.5,4023D,0.0
Slim Combo (Para 1),1,11.9,11.9,BAATGWGY,0.0
Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,BAATGWGY,0.0
Patatas fritas Grandes,1,4.5,4.5,M18BGGHR,0.0
Kahuna Burger,1,8.5,8.5,M18BGGHR,0.0
Burger La Caprichosa,2,10.9,21.8,D9F30,0.0
Alitas De Pollo Fritas (7 Uds.),2,7.2,14.4,D9F30,0.0
Patatas Fritas,2,2.5,5.0,D9F30,0.0
La Muergana,1,14.5,14.5,AGLFJ33F,0.0
Patatas Fritas bacon,1,7.7,7.7,AGLFJ33F,0.0
Cocacola bote,1,1.9,1.9,AGLFJ33F,0.0
Hamburguesa La Inglesa,1,12.3,12.3,B1G53F1N,0.0
Zima Blue,2,12.2,24.4,MPUQY17P,0.0
Zima Blue,1,11.7,11.7,0CB5E,0.0
Boniato frito pequeño,1,3.5,3.5,0CB5E,0.0
Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,0CB5E,0.0
Hamburguesa La Inglesa,1,12.3,12.3,BAXGDXVF,0.0
Hamburguesa La Dos,1,15.7,15.7,BBMBXLC8,0.0
Hamburguesa La Uno,1,14.6,14.6,BBMBXLC8,0.0
Boniato frito pequeño,1,3.5,3.5,BF5E1,0.0
Kahuna Burger,2,8.1,16.2,BF5E1,0.0
Patatas fritas Grandes,1,4.5,4.5,BF5E1,0.0
Patatas fritas Pequeñas,1,2.5,2.5,A0C31,0.0
Tequeños,2,6.4,12.8,A0C31,0.0
Sweet Home Alicante,1,12.3,12.3,A0C31,0.0
Sweet Home Madrid,1,12.7,12.7,M6F7C1LF,0.0
Kahuna Burger,1,8.5,8.5,M6F7C1LF,0.0
Patatas fritas Grandes,1,4.5,4.5,M6F7C1LF,0.0
Burger La Uno Basic,1,12.6,12.6,AZD9VR9S,0.0
Marquesa de Dulce de leche,1,5.9,5.9,AZD9VR9S,0.0
Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,BYXZHBQP,0.0
Ned Kelly,1,10.9,10.9,BYXZHBQP,0.0
Tarta de Caramelo a la sal,1,3.5,3.5,BYXZHBQP,0.0
Tequeños,1,9.9,9.9,BVK1CJ6U,0.0
Hamburguesa Perla Negra,1,14.3,14.3,BVK1CJ6U,0.0
Alitas Kentucky (5 und),1,8.9,8.9,BVK1CJ6U,0.0
Arepa la rumbera remix,1,7.7,7.7,BVK1CJ6U,0.0
Kahuna Burger,1,8.5,8.5,135808147,0.0
Sweet Home Madrid,1,12.7,12.7,135808147,0.0
Patatas fritas Grandes,1,4.5,4.5,135808147,0.0
Marquesa de Nutella,1,5.9,5.9,AL1CVZTJ,0.0
Burger La Caprichosa,1,10.9,10.9,AL1CVZTJ,0.0
Sweet Home Sanvi,2,12.3,24.6,026B9,0.0
Boniato frito pequeño,1,3.5,3.5,F1229,0.0
Charles Wells,2,8.3,16.6,F1229,0.0
Patatas fritas Grandes,1,4.5,4.5,F1229,0.0
El Pelirojo Jimmy,1,10.7,10.7,F1229,0.0
Sweet Home Sanvi,1,12.3,12.3,33925,0.0
Rabiosa,1,14.2,14.2,C2688,0.0
Mango Vice,1,14.5,14.5,ASQ19FSJ,0.0
Burger La Zar Basic,1,12.9,12.9,AX57PG6Q,0.0
El Pelirojo Jimmy,1,10.7,10.7,36FB8,0.0
Patatas fritas Grandes,1,4.5,4.5,36FB8,0.0
El Pelirojo Jimmy,1,10.7,10.7,08A9E,0.0
Patatas fritas Pequeñas,1,2.5,2.5,08A9E,0.0
Boniato frito pequeño,1,3.5,3.5,08A9E,0.0
Sweet Home Alicante,1,12.3,12.3,85995,0.0
Kahuna Burger,1,8.1,8.1,85995,0.0
Chicken Tenders,1,7.6,7.6,85995,0.0
Patatas fritas Grandes,1,4.5,4.5,85995,0.0
Burger La Caprichosa,2,10.9,21.8,6669D,0.0
Hamburguesa La Caprichosa,2,12.9,25.8,079E6,0.0
Patatas fritas Grandes,1,4.5,4.5,37DDA,0.0
El Pelirojo Jimmy,2,10.7,21.4,37DDA,0.0
Patatas fritas Grandes,1,4.5,4.5,24D8C,0.0
El Pelirojo Jimmy,1,10.7,10.7,24D8C,0.0
Oklahoma Umbrella,1,7.5,7.5,24D8C,0.0
Sweet Home Sanvi,2,12.3,12.3,752852484,0.0
Patatas fritas L,1,4.5,4.5,752852484,0.0
Tequeños (4 Uds.),1,6.5,6.5,AECE7,0.0
Burger La Caprichosa,2,11.9,23.8,AECE7,0.0
Marquesa de Dulce de leche,1,5.9,5.9,AECE7,0.0
Sweet Home Alicante,1,12.3,12.3,752852251,0.0
Boniato frito grande,1,6.9,6.9,752852251,0.0
Zima Blue,1,11.7,11.7,752852251,0.0
Patatas fritas Grandes,1,4.5,4.5,7ABE1,0.0
Charles Wells,2,8.3,16.6,7ABE1,0.0
Charles Wells,1,8.3,8.3,752844849,0.0
Patatas fritas S,1,2.5,2.5,752844849,0.0
Cheesecake de Oreo,1,4.9,4.9,752844849,0.0
Marquesa de Nutella,1,5.9,5.9,538B7,0.0
Burger La Caprichosa,2,10.9,21.8,538B7,0.0
Burger Perla Negra,2,12.5,25.0,ADJ1ULC6,0.0
Patatas Fritas,2,2.5,5.0,ADJ1ULC6,0.0
Sweet Home Sanvi,2,12.3,24.6,F41B1,0.0
Patatas fritas Grandes,2,4.5,9.0,F41B1,0.0
Monchi Meal (Para 2),1,23.8,23.8,077F4,0.0
Slim Combo (Para 1),1,11.9,11.9,MLFCJGPK,0.0
El honesto Mike,1,12.3,12.3,752858129,0.0
Zima Blue,1,11.7,11.7,752858129,0.0
Tequeños,2,6.4,12.8,752858129,0.0
Sweet Home Sanvi,1,12.3,12.3,752858129,0.0
Sweet Home Sanvi,1,12.3,12.3,35DC4,0.0
El Pelirojo Jimmy,1,10.7,10.7,35DC4,0.0
Charles Wells,1,8.3,8.3,752859332,0.0
Patatas fritas L,1,4.5,4.5,752859332,0.0
Sweet Home Sanvi,1,12.3,12.3,752859332,0.0
Tequeños,1,6.4,6.4,752859332,0.0
Sweet Home Alicante,2,12.3,24.6,8B7B9,0.0
Patatas fritas Grandes,1,4.5,4.5,8B7B9,0.0
Burger La Caprichosa,2,10.9,21.8,3AE67,0.0
El Pelirojo Jimmy,1,10.7,10.7,D8A3D,0.0
Patatas fritas Grandes,1,4.5,4.5,D8A3D,0.0
Alitas,1,7.2,7.2,FF319,0.0
El Honesto Mike,1,12.7,12.7,FF319,0.0
Hamburguesa La Caprichosa,1,12.9,12.9,BJC9MU6T,0.0
Chicken tenders,1,7.7,7.7,BJC9MU6T,0.0
Hamburguesa cheesebacon,1,12.5,12.5,BJC9MU6T,0.0
Monchi Meal (Para 2),1,23.8,23.8,FB4A9,0.0
Chicken Tenders,1,7.6,7.6,FB4A9,0.0
Patatas fritas Pequeñas,1,2.5,2.5,FB4A9,0.0
Tequeños,1,6.4,6.4,D548C,0.0
Kahuna Burger,3,8.1,24.3,D548C,0.0
Kalifornia,1,13.5,13.5,D548C,0.0
Boniato frito grande,1,6.9,6.9,752858615,0.0
Patatas fritas L,1,4.5,4.5,752858615,0.0
Zima Blue,1,11.7,11.7,752858615,0.0
Kalifornia,1,12.5,12.5,752858615,0.0
Charles Wells,2,8.3,8.3,752858615,0.0
El Pelirojo Jimmy,1,10.7,10.7,BS1S5JLY,0.0
Salsa X,1,1.5,1.5,BS1S5JLY,0.0
Kahuna Burger,1,8.1,8.1,BS1S5JLY,0.0
Hamburguesa El Zar,1,14.9,14.9,BB1ZF8GS,0.0
Coca-Cola Zero Azúcar lata 330ml.,1,1.9,1.9,135818961,0.0
Charles Wells,1,8.7,8.7,135818961,0.0
Sweet Home Madrid,1,12.7,12.7,135818961,0.0
Patatas fritas Pequeñas,1,2.5,2.5,135818961,0.0
Burger La Caprichosa,2,10.9,21.8,A3725,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,A3725,0.0
Charles Wells,1,8.3,8.3,EB9A2,0.0
Patatas fritas Grandes,1,4.5,4.5,EB9A2,0.0
Sweet Home Alicante,1,12.3,12.3,EB9A2,0.0
Boniato frito pequeño,1,3.5,3.5,7826C,0.0
Sweet Home Alicante,2,12.3,24.6,7826C,0.0
Patatas fritas Pequeñas,1,2.5,2.5,7826C,0.0
Arepa isleña,1,9.4,9.4,BKZVCU7W,0.0
Arepa la rumbera remix,1,7.7,7.7,BKZVCU7W,0.0
Tequemix,1,9.9,9.9,BKZVCU7W,0.0
Kahuna Burger,1,8.1,8.1,3F965,0.0
Patatas fritas Grandes,1,4.5,4.5,3F965,0.0
Slim Combo (Para 1),1,11.9,11.9,867F2,0.0
Slim Combo (Para 1),1,11.9,11.9,752866325,0.0
Burger La Caprichosa,2,11.9,23.8,5056D,0.0
Arepa Sifrina,1,6.5,6.5,BDVXSRYH,0.0
Nestea Té Negro Limón lata 330ml.,1,1.9,1.9,BDVXSRYH,0.0
Charles Wells,1,8.7,8.7,135821262,0.0
Kahuna Burger,1,8.5,8.5,135821262,0.0
Boniato frito pequeño,1,3.5,3.5,135821262,0.0
Salsa Zima Blue,1,1.5,1.5,135821262,0.0
Patatas fritas Pequeñas,1,2.5,2.5,135821262,0.0
RABIOSA,1,14.2,14.2,ALBEBBL1,0.0
Charles Wells,2,8.3,8.3,752863317,0.0
El Pelirojo Jimmy,1,10.7,10.7,752863317,0.0
Oklahoma Umbrella,1,7.5,7.5,752863317,0.0
Patatas fritas L,1,4.5,4.5,752863317,0.0
Zima Blue,1,11.7,11.7,752863317,0.0
Kalifornia,1,12.5,12.5,752863317,0.0
Tropichicken,1,12.9,12.9,ALUNJ7ZX,0.0
LA UNO,1,14.6,14.6,ALUNJ7ZX,0.0
Sweet Home Sanvi,2,12.3,24.6,752872506,0.0
Patatas fritas S,1,2.5,2.5,752872506,0.0
Combo Para Ti,1,15.3,15.3,A9XWBHNT,0.0
Sweet Home Sanvi,2,12.3,24.6,3A758,0.0
Tequeños,1,6.4,6.4,3A758,0.0
Patatas fritas Pequeñas,2,2.5,5.0,3A758,0.0
Zima Blue,1,11.7,11.7,752874033,0.0
Sweet Home Alicante,3,12.3,12.3,752874033,0.0
Patatas fritas L,2,4.5,9.0,752874033,0.0
Sweet Home Alicante,1,12.3,12.3,8CE68,0.0
Kahuna Burger,2,8.1,16.2,DD2A6,0.0
Oklahoma Umbrella,1,7.5,7.5,BA35A,0.0
Patatas fritas Grandes,1,4.5,4.5,BA35A,0.0
Kahuna Burger,1,8.1,8.1,BA35A,0.0
Kahuna Burger,1,8.5,8.5,ME2LB4Y5,0.0
Patatas fritas Pequeñas,1,2.5,2.5,ME2LB4Y5,0.0
Hamburguesa La Uno,1,14.6,14.6,B8MGRLGA,0.0
Hamburguesa La Muergana,1,14.5,14.5,B8MGRLGA,0.0
Patatas fritas Pequeñas,1,2.5,2.5,8C953,0.0
Ned Kelly,1,10.9,10.9,8C953,0.0
Charles Wells,1,8.3,8.3,B893F,0.0
El Pelirojo Jimmy,1,10.7,10.7,B893F,0.0
Patatas fritas Grandes,1,4.5,4.5,B893F,0.0
El Honesto Mike,1,12.3,12.3,B893F,0.0
Sweet Home Madrid,1,12.7,12.7,135826417,0.0
Alitas,1,7.2,7.2,135826417,0.0
Patatas fritas Pequeñas,1,2.5,2.5,135826417,0.0
Sweet Home Sanvi,1,12.3,12.3,752876707,0.0
El Pelirojo Jimmy,1,10.7,10.7,752876707,0.0
Sweet Home Madrid,4,12.7,50.8,MC7YE1L1,0.0
Patatas fritas Pequeñas,1,2.5,2.5,0D01E,0.0
Salsa X,1,1.5,1.5,0D01E,0.0
Sweet Home Alicante,1,12.3,12.3,0D01E,0.0
Sweet Home Madrid,1,12.7,12.7,135827125,0.0
Patatas fritas Pequeñas,1,2.5,2.5,135827125,0.0
Zima Blue,1,12.2,12.2,135827125,0.0
Tequeños,1,6.4,6.4,135827125,0.0
Slim Combo (Para 1),1,11.9,11.9,135827125,0.0
Salsa Zima Blue,1,1.5,1.5,135827125,0.0
Salsa X,1,1.5,1.5,135827125,0.0
Ned Kelly,2,10.9,21.8,863E4,0.0
Kalifornia,1,13.5,13.5,863E4,0.0
Sweet Home Alicante,1,12.3,12.3,863E4,0.0
Patatas fritas Grandes,2,4.5,9.0,863E4,0.0
Patatas fritas L,1,4.5,4.5,752876862,0.0
El Pelirojo Jimmy,1,10.7,10.7,752876862,0.0
Sweet Home Alicante,1,12.3,12.3,752876862,0.0
Patatas fritas Pequeñas,1,2.5,2.5,0D24B,0.0
Salsa Zima Blue,1,1.5,1.5,0D24B,0.0
Zima Blue,2,12.2,24.4,0D24B,0.0
Sweet Home Sanvi,4,12.3,49.2,E6176,0.0
Zima Blue,1,11.7,11.7,E6176,0.0
Chicken Tenders,1,7.6,7.6,E6176,0.0
El Honesto Mike,1,12.3,12.3,E6176,0.0
Patatas fritas Grandes,3,4.5,13.5,E6176,0.0
Kahuna Burger,1,8.1,8.1,752877337,0.0
Zima Blue,1,11.7,11.7,752877337,0.0
Patatas fritas L,1,4.5,4.5,752877337,0.0
Arepa Cabramelizada,1,5.9,5.9,BVBZC1NF,0.0
Arepa La abuela Rumbera,1,10.9,10.9,BVBZC1NF,0.0
Patatas (Pequeña),1,2.0,2.0,BVBZC1NF,0.0
Tequeños,1,6.4,6.4,3335F,0.0
Boniato frito pequeño,1,3.5,3.5,3335F,0.0
Sweet Home Madrid,1,12.7,12.7,3335F,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,AJLMZHN8,0.0
Burger La Caprichosa,1,10.9,10.9,AJLMZHN8,0.0
Patatas Fritas,1,2.5,2.5,AJLMZHN8,0.0
Sweet Home Benidorm,1,12.3,12.3,BBBUTNND,0.0
Slim Combo (Para 1),2,11.9,23.8,BBBUTNND,0.0
Boniato Frito,1,3.5,3.5,FA93F,0.0
Tequeños (4 Uds.),1,5.9,5.9,FA93F,0.0
Aquarius Limón lata 330ml.,1,1.9,1.9,FA93F,0.0
Burger La Caprichosa,2,10.9,21.8,FA93F,0.0
Patatas fritas Pequeñas,1,2.5,2.5,9178F,0.0
El Honesto Mike,1,12.3,12.3,9178F,0.0
Patatas fritas L,1,4.5,4.5,752703653,0.0
Kalifornia,1,12.5,12.5,752703653,0.0
Charles Wells,1,8.3,8.3,752703653,0.0
Burger Cheesebacon,1,10.9,10.9,ALMWLCJJ,0.0
Hamburguesa cheesebacon,1,12.5,12.5,B47ZFWSK,0.0
Sweet Home Madrid,2,12.7,25.4,8AC61,0.0
Tequeños,1,6.4,6.4,8AC61,0.0
Boniato frito pequeño,1,3.5,3.5,8AC61,0.0
Patatas fritas Pequeñas,1,2.5,2.5,8AC61,0.0
Boniato frito pequeño,1,3.5,3.5,3EC9A,0.0
Patatas fritas Grandes,1,4.5,4.5,3EC9A,0.0
Sweet Home Alicante,1,12.3,12.3,3EC9A,0.0
Kahuna Burger,1,8.1,8.1,5F253,0.0
Patatas fritas Pequeñas,1,2.5,2.5,5F253,0.0
Salsa X,1,1.5,1.5,5F253,0.0
El Pelirojo Jimmy,1,10.7,10.7,5F253,0.0
Crew Combo (Para 4),1,47.6,47.6,123E5,0.0
Ned Kelly,1,10.9,10.9,881CA,0.0
Patatas fritas Pequeñas,1,2.5,2.5,881CA,0.0
Patatas fritas L,1,4.5,4.5,752885904,0.0
Ned Kelly,1,10.9,10.9,752885904,0.0
Tequeños,1,6.4,6.4,752885904,0.0
Kahuna Burger,1,8.1,8.1,752885904,0.0
Boniato Frito,1,3.5,3.5,CF254,0.0
Patatas Fritas,1,2.5,2.5,CF254,0.0
Burger La Caprichosa,4,10.9,43.6,CF254,0.0
Hamburguesa cheesebacon,1,12.5,12.5,BTSWBU8Z,0.0
Patatas fritas S,1,2.5,2.5,752831584,0.0
Charles Wells,1,8.3,8.3,752831584,0.0
Burger La Uno Basic,1,12.6,12.6,A34G1HLG,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,A34G1HLG,0.0
Burger Cheesebacon,2,10.9,21.8,A34G1HLG,0.0
Tequeños (4 Uds.),1,5.9,5.9,A34G1HLG,0.0
Burger Perla Negra,5,12.5,62.5,A34G1HLG,0.0
Patatas fritas Grandes,1,4.5,4.5,7C76F,0.0
Sweet Home Alicante,1,12.3,12.3,7C76F,0.0
Sweet Home Alicante,1,12.3,12.3,68E96,0.0
Patatas fritas Grandes,1,4.5,4.5,68E96,0.0
Combo Para Compartir,1,30.6,30.6,AL11RS1K,0.0
Sweet Home Madrid,3,12.7,38.1,8005E,0.0
Patatas fritas Grandes,1,4.5,4.5,8005E,0.0
Kalifornia,1,12.5,12.5,752883052,0.0
Sweet Home Sanvi,2,12.3,24.6,B0BDA,0.0
Boniato frito pequeño,1,3.5,3.5,B0BDA,0.0
Patatas fritas Pequeñas,1,2.5,2.5,B0BDA,0.0
Sweet Home Alicante,1,12.3,12.3,37AD1,0.0
Patatas fritas Pequeñas,1,2.5,2.5,37AD1,0.0
Zima Blue,1,11.7,11.7,37AD1,0.0
Boniato Frito,1,3.5,3.5,DC9A9,0.0
Burger La Caprichosa,2,10.9,21.8,DC9A9,0.0
Patatas fritas Pequeñas,1,2.5,2.5,4176E,0.0
Sweet Home Alicante,1,12.3,12.3,4176E,0.0
Combo Duo (Para 2),2,26.8,53.6,BTQYLUAV,0.0
Sweet Home Alicante,2,12.3,12.3,752896114,0.0
Patatas fritas L,1,4.5,4.5,752896114,0.0
Kahuna Burger,1,8.1,8.1,752896114,0.0
Patatas fritas S,1,2.5,2.5,752896114,0.0
Sweet Home Sanvi,1,12.3,12.3,DD645,0.0
Boniato frito grande,1,6.9,6.9,DD645,0.0
Kalifornia,1,13.5,13.5,DD645,0.0
Salsa Sweet-Umbrella,1,1.5,1.5,DD645,0.0
Boniato frito pequeño,1,3.5,3.5,B1LKFY3A,0.0
Kahuna Burger,1,8.1,8.1,B1LKFY3A,0.0
Sweet Home Madrid,1,12.7,12.7,MN3AJUFA,0.0
Marquesa de Nutella,1,5.9,5.9,ADVMRNB1,0.0
Tequeños (4 Uds.),1,5.9,5.9,ADVMRNB1,0.0
Patatas Fritas,1,2.5,2.5,ADVMRNB1,0.0
Boniato frito pequeño,1,3.5,3.5,AE9DD,0.0
Sweet Home Madrid,1,12.7,12.7,AE9DD,0.0
Zima Blue,1,12.2,12.2,MRUEWG5K,0.0
Slim Combo (Para 1),1,11.9,11.9,B100D,0.0
Hamburguesa Beety Miranda,1,12.7,12.7,BMGQHLLW,0.0
Teque Nutella,1,3.2,3.2,BMGQHLLW,0.0
Gofre,1,5.5,5.5,BMGQHLLW,0.0
Hamburguesa La Inglesa,1,12.3,12.3,BMGQHLLW,0.0
Tequemix,1,9.9,9.9,BMGQHLLW,0.0
Charles Wells,1,8.3,8.3,A9DA5,0.0
Tequeños,1,6.4,6.4,A9DA5,0.0
El Pelirojo Jimmy,1,10.7,10.7,A9DA5,0.0
Patatas fritas Grandes,1,4.5,4.5,A9DA5,0.0
Burger La Caprichosa,2,10.9,21.8,F7CCC,0.0
Patatas Fritas,1,2.5,2.5,F7CCC,0.0
Tequeños (4 Uds.),1,5.9,5.9,F7CCC,0.0
Burger Cheesebacon,1,10.9,10.9,F7CCC,0.0
Burger Perla Negra,2,12.5,25.0,F7CCC,0.0
Burger La Caprichosa,4,10.9,43.6,203CC,0.0
Burger La Caprichosa,2,10.9,21.8,57433,0.0
Perla Negra,1,14.3,14.3,ACDGZLKH,0.0
Cheesebacon,3,12.5,37.5,ACDGZLKH,0.0
Patatas fritas S,1,2.5,2.5,752901875,0.0
Kalifornia,1,12.5,12.5,752901875,0.0
Slim Combo (para 1),1,11.9,11.9,39DB3,0.0
RABIOSA,1,14.2,14.2,ABK41QC1,0.0
Tequenutella PL,1,3.9,3.9,ABK41QC1,0.0
Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,BHNVN82D,0.0
Arepa la pelúa,1,8.5,8.5,BHNVN82D,0.0
El Pelirojo Jimmy,1,10.7,10.7,41580,0.0
Sweet Home Alicante,1,12.3,12.3,41580,0.0
Tequeños,1,6.4,6.4,41580,0.0
Boniato frito grande,1,6.9,6.9,41580,0.0
Patatas fritas Grandes,1,4.5,4.5,41CF2,0.0
Charles Wells,1,8.3,8.3,41CF2,0.0
Patatas fritas Pequeñas,2,2.5,5.0,41CF2,0.0
El Honesto Mike,2,12.3,24.6,41CF2,0.0
Sweet Home Sanvi,1,12.3,12.3,41CF2,0.0
Burger La Caprichosa,2,10.9,21.8,2AC64,0.0
Combo Ego (para 1),1,13.4,13.4,B51YBT1N,0.0
Inglesa,1,12.5,12.5,AESYQLYM,0.0
Caprichosa,1,12.9,12.9,AESYQLYM,0.0
Cheesebacon,1,12.5,12.5,AESYQLYM,0.0
Perla Negra,1,14.3,14.3,AESYQLYM,0.0
LA UNO,1,14.6,14.6,AESYQLYM,0.0
Slim Combo (Para 1),1,11.9,11.9,135836607,0.0
Tarta Marquesa de Nutella,1,5.9,5.9,135836607,0.0
Alitas,1,7.2,7.2,135836607,0.0
Kalifornia,1,12.5,12.5,752906893,0.0
Patatas fritas L,1,4.5,4.5,752906893,0.0
Charles Wells,1,8.3,8.3,752906893,0.0
Boniato Frito,1,3.5,3.5,3F0B2,0.0
Burger La Caprichosa,4,10.9,43.6,3F0B2,0.0
Hamburguesa cheesebacon,1,12.5,12.5,BCQUWQ15,0.0
Kahuna Burger,1,8.1,8.1,BSQFVPJ1,0.0
Sweet Home Sanvi,1,12.3,12.3,04FEC,0.0
Patatas fritas Grandes,1,4.5,4.5,04FEC,0.0
Marquesa de Dulce de leche,1,5.9,5.9,ADZ7NU3N,0.0
Patatas Fritas,1,2.5,2.5,ADZ7NU3N,0.0
Burger La Uno Basic,1,12.6,12.6,ADZ7NU3N,0.0
Burger La Zar Basic,1,12.9,12.9,ADZ7NU3N,0.0
Kahuna Burger,2,8.5,17.0,135838466,0.0
Charles Wells,1,8.7,8.7,135838466,0.0
Combo Duo (Para 2),1,26.8,26.8,BZL1ZCQK,0.0
Combo Para Compartir,1,30.6,30.6,AXF1SUUB,0.0
Kahuna Burger,3,8.1,24.3,E39E0,0.0
Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,E39E0,0.0
Agua (330 Ml.),1,1.0,1.0,E39E0,0.0
Kahuna Burger,2,8.1,16.2,B1P9WNQ4,0.0
Burger La Caprichosa,2,10.9,21.8,DA270,0.0
Patatas Fritas,1,2.5,2.5,DA270,0.0
Sweet Home Alicante,1,12.3,12.3,AE8B7,0.0
Tequeños,1,6.4,6.4,AE8B7,0.0
Patatas fritas Grandes,1,4.5,4.5,AE8B7,0.0
Sweet Home Sanvi,1,12.3,12.3,752924616,0.0
Patatas fritas L,1,4.5,4.5,752924616,0.0
El honesto Mike,1,12.3,12.3,752924616,0.0
Coca-cola Zero,2,1.9,3.8,752924616,0.0
Sweet Home Sanvi,1,12.3,12.3,752925801,0.0
Patatas fritas L,1,4.5,4.5,752925801,0.0
Coca-cola,2,1.9,3.8,752925801,0.0
Ned Kelly,1,10.9,10.9,752925801,0.0
Slim Combo (para 1),1,11.9,11.9,60D97,0.0
Slim Combo (Para 1),1,11.9,11.9,BVKVQ6A6,0.0
Salsa X,1,1.5,1.5,BVKVQ6A6,0.0
Charles Wells,1,8.7,8.7,MZDBFXZL,0.0
Patatas fritas Grandes,1,4.5,4.5,MZDBFXZL,0.0
Zima Blue,1,12.2,12.2,MZDBFXZL,0.0
Ned Kelly,1,11.4,11.4,MZDBFXZL,0.0
Arepa Sifrina,1,7.7,7.7,AY5RBDZ4,0.0
Habanera,1,16.5,16.5,ACWNX1DL,0.0
Combo Para Ti,1,15.3,15.3,AGU13N1N,0.0
Arepa Sifrina,1,7.7,7.7,A1B111NG,0.0
Cocacola bote,2,1.9,3.8,A1B111NG,0.0
Ei-ou,1,18.2,18.2,A1B111NG,0.0
Trío Criollo,1,12.2,12.2,A1B111NG,0.0
Arepa Reina Pepiada,2,7.7,15.4,AUL6A1VG,0.0
Kahuna Burger,1,8.1,8.1,FCE49,0.0
Patatas fritas Pequeñas,1,2.5,2.5,FCE49,0.0
Charles Wells,1,8.3,8.3,FCE49,0.0
Tequeños,1,6.4,6.4,FCE49,0.0
Ned Kelly,1,11.4,11.4,135847819,0.0
Burger Perla Negra,1,12.5,12.5,C8152,0.0
Patatas Fritas,1,2.5,2.5,C8152,0.0
Burger La Caprichosa,2,11.9,23.8,35440,0.0
Patatas fritas Pequeñas,1,2.5,2.5,96EF2,0.0
Kahuna Burger,1,8.1,8.1,96EF2,0.0
Patatas fritas Pequeñas,1,2.5,2.5,135850015,0.0
Sweet Home Madrid,1,12.7,12.7,135850015,0.0
Burger La Caprichosa,2,10.9,21.8,FF679,0.0
Patatas Fritas,1,2.5,2.5,FF679,0.0
Burger La Caprichosa,2,10.9,21.8,2DC18,0.0
Teque Nutella,1,3.2,3.2,BMVHC1ZL,0.0
Hamburguesa La Uno,1,14.6,14.6,BMVHC1ZL,0.0
Coca-Cola Zero Azúcar lata 330ml.,1,1.9,1.9,BMVHC1ZL,0.0
Burger La Caprichosa,2,11.9,23.8,26B62,0.0
Kalifornia,1,13.5,13.5,C8D57,0.0
Burger La Caprichosa,2,11.9,23.8,5C2CF,0.0
Patatas Fritas,1,2.9,2.9,5C2CF,0.0
Boniato Frito,1,3.9,3.9,5C2CF,0.0
Hamburguesa Perla Negra,1,14.3,14.3,BSDGQBU6,0.0
Burger La Uno Basic,2,12.6,25.2,2B16D,0.0
Patatas Fritas,1,2.5,2.5,2B16D,0.0
Patatas Fritas,1,2.5,2.5,A11WZ1KG,0.0
Burger La Uno Basic,1,12.6,12.6,A11WZ1KG,0.0
Hamburguesa La Muergana,2,14.5,29.0,BS6P1Y5B,0.0
Patatas fritas Grandes,1,4.5,4.5,01D36,0.0
Kalifornia,1,13.5,13.5,01D36,0.0
Sweet Home Alicante,1,12.3,12.3,01D36,0.0
Combo Para Ti,1,15.3,15.3,AKLYEMV7,0.0
Burger La Caprichosa,2,11.9,23.8,0709C,0.0
Alitas Kentucky  (5Und),1,9.5,9.5,AYJQDVPY,0.0
LA UNO,1,14.6,14.6,AYJQDVPY,0.0
Perla Negra,1,14.3,14.3,AYJQDVPY,0.0
Beety Miranda,1,12.7,12.7,AUXL19GZ,0.0
Sweet Home Sanvi,1,12.3,12.3,78E96,0.0
Patatas fritas Pequeñas,1,2.5,2.5,78E96,0.0
Ned Kelly,1,10.9,10.9,78E96,0.0
Monchi Meal (Para 2),1,23.8,23.8,F734B,0.0
Patatas Fritas,1,2.5,2.5,ABCDLWPF,0.0
Burger Cheesebacon,2,10.9,21.8,ABCDLWPF,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,ABCDLWPF,0.0
Sweet Home Sanvi,1,12.3,12.3,2E199,0.0
Patatas fritas Pequeñas,1,2.5,2.5,2E199,0.0
Patatas fritas Grandes,1,4.5,4.5,2E199,0.0
Ned Kelly,1,10.9,10.9,2E199,0.0
Slim Combo (Para 1),1,11.9,11.9,135856172,0.0
Boniato frito grande,1,6.9,6.9,B8DAF,0.0
Patatas fritas Pequeñas,1,2.5,2.5,B8DAF,0.0
Zima Blue,2,12.2,24.4,B8DAF,0.0
Patatas fritas Grandes,1,4.5,4.5,30A7C,0.0
Boniato frito pequeño,1,3.5,3.5,30A7C,0.0
Sweet Home Alicante,2,12.3,24.6,30A7C,0.0
Salsa de queso azul,1,1.5,1.5,753185854,0.0
Patatas fritas S,2,2.5,5.0,753185854,0.0
Kahuna Burger,4,8.1,32.4,753185854,0.0
