,latitude,longitude,timestamp
200,38.34654945733547,-0.48878657453540475,1674244059000
203,38.32761077520364,-0.5130772846557585,1674245466000
205,38.370176642021285,-0.5013636776118902,1674246583000
207,38.36180139470849,-0.49462165141458403,1674246910000
208,38.35930343556106,-0.48446636300085055,1674246971000
211,38.350362544511434,-0.49055340096542555,1674251103000
213,38.36286861030826,-0.4891398134918301,1674305078000
216,38.403223061852884,-0.43761202840562063,1674328467000
217,38.36744292413369,-0.4893173386926897,1674329430000
223,38.376388803248645,-0.49085914842503575,1674332090000
224,38.343889604553134,-0.49333123649440536,1674332351000
225,38.33386469987464,-0.5083251023773094,1674333062000
226,38.36836252611956,-0.4760073326661951,1674334149000
229,38.367262883988296,-0.4190325067459022,1674393061000
231,38.34489504537237,-0.48577637358969694,1674414397000
232,38.35947831508903,-0.48688569164744955,1674414641000
